Order ID,Order Date,Product ID,Product Category,Buyer Gender,Buyer Age,Order Location,International Shipping,Sales Price,Shipping Charges,Sales per Unit,Quantity,Total Sales,Rating,Review,ClientID
189440,2024-07-21,BF8238,Clothing,Male,30,New Jersey,No,100,0,100,1,100,4,The delivery team handled the product with care.,509-47-7760
187385,2024-07-20,BF2152,Clothing,Male,32,Las Vegas,No,100,0,100,1,100,3,Had slight delays but the product was in good shape.,334-69-6217
181844,2024-07-21,BF8238,Other,Female,26,Cardiff,Yes,9,40,49,1,49,2,Waste of Money.,357-58-7458
197934,2024-08-19,BF4831,Other,Male,28,Pittsburgh,No,9,0,9,2,18,3,Had slight delays but the product was in good shape.,709-11-7996
122470,2024-01-06,BF6975,Other,Female,19,Miami,No,10,0,10,3,30,5,Lack of delivery delays is greatly appreciated.,458-54-7302
199680,2024-06-01,BF6693,Clothing,Male,29,Sydney,Yes,118,100,218,1,218,1,The product had an underwhelming design.,725-09-9845
130929,2024-03-06,BF8238,Ornaments,Male,32,Memphis,No,32,0,32,3,96,4,Premium quality as usual.,687-46-1501
164427,2024-04-16,BF0060,Ornaments,Male,26,Miami,No,32,0,32,2,64,3,Not as expected.,887-24-1826
149510,2024-05-22,BF0809,Other,Female,26,New York,No,10,0,10,1,10,4,Lack of delivery delays is greatly appreciated.,844-94-2027
176280,2024-02-27,BF0060,Clothing,Male,20,Sydney,Yes,65,100,165,1,165,4,Great design is one of the major positives of this product.,203-21-0359
196659,2023-11-05,BF2370,Clothing,Female,34,Montreal,Yes,118,25,143,1,143,5,The product was delivered quickly.,328-37-9085
146245,2024-09-24,BF0103,Clothing,Male,21,Sacramento,No,65,0,65,1,65,1,There is clear evidence of subpar detailing.,220-57-5020
150560,2024-10-04,BF6604,Clothing,Male,29,Las Vegas,No,118,0,118,3,354,5,The product was delivered quickly.,864-15-9356
138348,2024-01-26,BF2887,Clothing,Male,26,New Jersey,No,130,0,130,2,260,2,The product had an underwhelming design.,543-38-1711
138790,2024-05-13,BF1681,Ornaments,Male,24,Montreal,Yes,32,25,57,2,114,3,Average product,555-45-3873
170025,2023-12-03,BF4831,Clothing,Male,34,Paris,Yes,97,50,147,1,147,5,Exquisite craftsmanship here is absolutely appreciated.,339-54-7906
168520,2024-09-23,BF0103,Ornaments,Female,31,San Antonio,No,15,0,15,3,45,2,"Unfortunately, the delivery was late.",609-89-6148
165261,2023-12-13,BF4831,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,5,The delivery team handled the product with care.,772-60-1135
182299,2024-03-26,BF6693,Other,Female,25,Cleveland,No,10,0,10,1,10,5,The Product exhibits good design.,311-11-5380
